date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:19:20	3928/3928	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2011%20Mar%202025%2018:49:20%20GMT	https://www.mscepune.in/SchollerShip_Exam_Pattern.aspx	/home/paresh/websites/mst/www.mscepune.in/SchollerShip_Exam_Pattern.20.delayed	(from https://www.mscepune.in/)
00:19:21	447329/447329	---M--	200	added ('OK')	application/pdf	etag:%22a5e18f684b23da1:0%22	https://www.mscepune.in/gcc/path/clusterhead30112023.pdf	/home/paresh/websites/mst/www.mscepune.in/gcc/path/clusterhead30112023.pdf	(from https://www.mscepune.in/)
00:19:23	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2011%20Mar%202025%2018:49:23%20GMT	https://www.mscepune.in/ScholorShipLetter/ScholorshipPustakNivedan.pdf	/home/paresh/websites/mst/www.mscepune.in/ScholorShipLetter/ScholorshipPustakNivedan.21.delayed	(from https://www.mscepune.in/)
00:19:24	13265495/13265495	---M--	200	added ('OK')	application/pdf	etag:%2285ce23274075da1:0%22	https://www.mscepune.in/gcc/path/LipikJahirat.pdf	/home/paresh/websites/mst/www.mscepune.in/gcc/path/LipikJahirat.pdf	(from https://www.mscepune.in/)
00:19:29	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2011%20Mar%202025%2018:49:29%20GMT	https://mscepune.in/gcc/00100.jpg	/home/paresh/websites/mst/mscepune.in/gcc/00100.23.delayed	(from https://www.mscepune.in/)
00:19:31	3871994/3871994	---M--	200	added ('OK')	application/pdf	etag:%22ab29fc9ad775da1:0%22	https://mscepune.in/gcc/path/TAIT%20EXAM%202022%20Notification.pdf	/home/paresh/websites/mst/mscepune.in/gcc/path/TAIT%20EXAM%202022%20Notification.pdf	(from https://www.mscepune.in/)
00:19:33	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2011%20Mar%202025%2018:49:32%20GMT	https://mscepune.in/gcc/002002.jpg	/home/paresh/websites/mst/mscepune.in/gcc/002002.24.delayed	(from https://www.mscepune.in/)
00:19:35	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2011%20Mar%202025%2018:49:35%20GMT	https://mscepune.in/gcc/MSCE%20(Pre%20Recruitment%20Certification)%20IH%20MARATHI%202023.pdf	/home/paresh/websites/mst/mscepune.in/gcc/MSCE%20(Pre%20Recruitment%20Certification)%20IH%20MARATHI%202023.25.delayed	(from https://www.mscepune.in/)
00:19:37	65649724/65649724	---M--	200	added ('OK')	application/pdf	etag:%22038d504653d91:0%22	https://mscepune.in/gcc/MAHHATET-2018_2.pdf	/home/paresh/websites/mst/mscepune.in/gcc/MAHHATET-2018_2.pdf	(from https://www.mscepune.in/)
00:19:38	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2011%20Mar%202025%2018:49:38%20GMT	https://mscepune.in/gcc/MSCE%20(Pre%20Recruitment%20Certification)%20IH%20EN%202023%20(1).pdf	/home/paresh/websites/mst/mscepune.in/gcc/MSCE%20(Pre%20Recruitment%20Certification)%20IH%20EN%202023%20(1).26.delayed	(from https://www.mscepune.in/)
