date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:03:43	3719034/3719034	---M--	200	added ('OK')	application/pdf	etag:%220ebe288574cdb1:0%22	http://www.mscepune.in/GCC/path/store/File%20Covers%2012122024.pdf	/home/paresh/websites/mst/www.mscepune.in/GCC/path/store/File%20Covers%2012122024.pdf	(from https://www.mscepune.in/)
00:03:44	3474683/3474683	---M--	200	added ('OK')	application/pdf	etag:%221f9d23762a4adb1:0%22	http://www.mscepune.in/GCC/path/Scan_20241209_150239.pdf	/home/paresh/websites/mst/www.mscepune.in/GCC/path/Scan_20241209_150239.pdf	(from https://www.mscepune.in/)
00:03:52	93260/93260	---M--	200	added ('OK')	image/jpeg	etag:%22e02990c886f7da1:0%22	http://www.mscepune.in/GCC/path/MarutiSuzuki_Ass.jpeg	/home/paresh/websites/mst/www.mscepune.in/GCC/path/MarutiSuzuki_Ass.jpg	(from https://www.mscepune.in/)
00:03:54	135936/135936	---M--	200	added ('OK')	image/jpeg	etag:%22a981e5cd86f7da1:0%22	http://www.mscepune.in/GCC/path/AshokLayland_ass.jpeg	/home/paresh/websites/mst/www.mscepune.in/GCC/path/AshokLayland_ass.jpg	(from https://www.mscepune.in/)
00:03:56	3610765/3610765	---M--	200	added ('OK')	application/pdf	etag:%22834f1ee0d747db1:0%22	http://www.mscepune.in/GCC/path/Scan_20241206_172607.pdf	/home/paresh/websites/mst/www.mscepune.in/GCC/path/Scan_20241206_172607.pdf	(from https://www.mscepune.in/)
00:04:03	147334/147334	---M--	200	added ('OK')	image/jpeg	etag:%22444516c28df3da1:0%22	http://www.mscepune.in/GCC/path/WeightMeasuremnet.jpeg	/home/paresh/websites/mst/www.mscepune.in/GCC/path/WeightMeasuremnet.jpg	(from https://www.mscepune.in/)
00:04:04	3722682/3722682	---M--	200	added ('OK')	application/pdf	etag:%22442139dcd47db1:0%22	http://www.mscepune.in/GCC/path/Scan_20241206_143845.pdf	/home/paresh/websites/mst/www.mscepune.in/GCC/path/Scan_20241206_143845.pdf	(from https://www.mscepune.in/)
00:04:11	85367/85367	---M--	200	added ('OK')	image/jpeg	etag:%227450962719e3da1:0%22	http://www.mscepune.in/GCC/path/TeaMachine.jpeg	/home/paresh/websites/mst/www.mscepune.in/GCC/path/TeaMachine.jpg	(from https://www.mscepune.in/)
00:04:12	3736955/3736955	---M--	200	added ('OK')	application/pdf	etag:%22327c2bba510db1:0%22	http://www.mscepune.in/GCC/path/Scan_20240926_162821.pdf	/home/paresh/websites/mst/www.mscepune.in/GCC/path/Scan_20240926_162821.pdf	(from https://www.mscepune.in/)
00:04:14	3898427/3898427	---M--	200	added ('OK')	application/pdf	etag:%229b5f35173e46db1:0%22	http://www.mscepune.in/GCC/path/Scan_20241204_153401.pdf	/home/paresh/websites/mst/www.mscepune.in/GCC/path/Scan_20241204_153401.pdf	(from https://www.mscepune.in/)
